time, solar
41520, 2394.0
41640, 2378.0
41760, 2365.0
41880, 2329.0
42000, 2350.0
42120, 2347.0
42240, 2348.0
42360, 2340.0
42480, 2320.0
42600, 2303.0
42720, 2345.0
42840, 2319.0
42960, 2296.0
43080, 2310.0
43200, 2307.0
43320, 2300.0
43440, 2291.0
43560, 2286.0
43680, 2311.0
43800, 2253.0
43920, 2252.0
44040, 2241.0
44160, 2221.0
44280, 2183.0
44400, 2179.0
44520, 2193.0
44640, 2160.0
44760, 2183.0
44880, 2144.0
45000, 2170.0
45120, 2150.0
45240, 2112.0
45360, 2118.0
45480, 2132.0
45600, 2079.0
45720, 2078.0
45840, 2060.0
45960, 2062.0
46080, 2098.0
46200, 2043.0
46320, 1999.0
46440, 2011.0
46560, 1999.0
46680, 1974.0
46800, 1963.0
46920, 1945.0
47040, 1927.0
47160, 1909.0
47280, 1947.0
47400, 1910.0
47520, 1913.0
47640, 1895.0
47760, 1873.0
47880, 1867.0
48000, 1846.0
48120, 1808.0
48240, 1793.0
48360, 1782.0
48480, 1769.0
48600, 1754.0
48720, 1745.0
48840, 1696.0
48960, 1719.0
49080, 1710.0
49200, 1677.0
49320, 1690.0
49440, 1662.0
49560, 1640.0
49680, 1617.0
49800, 1613.0
49920, 1589.0
50040, 1580.0
50160, 1565.0
50280, 1550.0
50400, 1517.0
50520, 1502.0
50640, 1495.0
50760, 1475.0
50880, 1455.0
51000, 1449.0
51120, 1418.0
51240, 1404.0
51360, 1386.0
51480, 1363.0
51600, 1353.0
51720, 1355.0
51840, 1345.0
51960, 1307.0
52080, 1300.0
52200, 1263.0
52320, 1253.0
52440, 1224.0
52560, 1213.0
52680, 1177.0
52800, 1168.0
52920, 1151.0
53040, 1133.0
53160, 1109.0
53280, 1108.0
53400, 1075.0
53520, 1055.0
53640, 1033.0
53760, 1017.0
53880, 1008.0
54000, 969.0
54120, 951.0
54240, 933.0
54360, 919.0
54480, 881.0
54600, 869.0
54720, 844.0
54840, 837.0
54960, 796.0
55080, 787.0
55200, 763.0
55320, 730.0
55440, 723.0
55560, 697.0
55680, 685.0
55800, 666.0
55920, 639.0
56040, 643.0
56160, 603.0
56280, 569.0
56400, 576.0
56520, 525.0
56640, 499.0
56760, 499.0
56880, 446.0
57000, 443.0
57120, 421.0
57240, 393.0
57360, 382.0
57480, 367.0
57600, 349.0
57720, 322.0
57840, 311.0
57960, 293.0
58080, 270.0
58200, 256.0
58320, 243.0
58440, 228.0
58560, 211.0
58680, 200.0
58800, 184.0
58920, 175.0
59040, 167.0
59160, 150.0
59280, 153.0
59400, 142.0
59520, 131.0
59640, 122.0
59760, 123.0
59880, 111.0
60000, 117.0
60120, 115.0
60240, 127.0
60360, 111.0
60480, 111.0
60600, 113.0
60720, 114.0
60840, 115.0
60960, 109.0
